Date,Produit,Catégorie,Client_ID,Quantité,Prix_Unitaire,Moyen_Paiement
2024-05-11,"TV LG 42""",Électronique,C0039,5,350000,Carte bancaire
2024-03-18,Casque JBL,Accessoires,C0095,1,20000,Mobile Money
2024-03-01,Chaussures Nike,Mode,C0074,5,45000,Mobile Money
2024-11-24,Casque JBL,Accessoires,C0099,5,20000,Cash
2024-07-30,Sac à dos Puma,Mode,C0023,3,25000,Mobile Money
2024-02-06,Sac à dos Puma,Mode,C0018,2,25000,Mobile Money
2024-12-12,"TV LG 42""",Électronique,C0090,4,350000,Mobile Money
2024-02-14,Smartphone Samsung,Téléphonie,C0086,4,250000,Carte bancaire
2024-11-08,T-shirt Zara,Mode,C0027,5,10000,Carte bancaire
2024-04-24,Chaussures Nike,Mode,C0003,2,45000,Mobile Money
2024-10-28,"TV LG 42""",Électronique,C0058,2,350000,Carte bancaire
2024-04-19,"TV LG 42""",Électronique,C0057,5,350000,Cash
2024-12-03,Chaussures Nike,Mode,C0077,3,45000,Carte bancaire
2024-06-16,Sac à dos Puma,Mode,C0003,5,25000,Cash
2024-06-05,Montre Casio,Accessoires,C0004,4,18000,Carte bancaire
2024-04-25,Chaussures Nike,Mode,C0066,4,45000,Carte bancaire
2024-08-08,Laptop HP,Informatique,C0092,5,300000,Carte bancaire
2024-05-28,Montre Casio,Accessoires,C0020,2,18000,Carte bancaire
2024-05-09,Clavier Logitech,Accessoires,C0032,4,15000,Carte bancaire
2024-11-08,T-shirt Zara,Mode,C0014,5,10000,Cash
2024-01-21,Chaussures Nike,Mode,C0005,4,45000,Carte bancaire
2024-07-11,Chaussures Nike,Mode,C0020,4,45000,Carte bancaire
2024-06-25,Clavier Logitech,Accessoires,C0080,5,15000,Cash
2024-06-04,Sac à dos Puma,Mode,C0097,4,25000,Carte bancaire
2024-06-29,Sac à dos Puma,Mode,C0005,5,25000,Cash
2024-04-17,Smartphone Samsung,Téléphonie,C0046,4,250000,Cash
2024-04-15,Laptop HP,Informatique,C0045,1,300000,Carte bancaire
2024-10-09,Clavier Logitech,Accessoires,C0035,4,15000,Carte bancaire
2024-01-05,Casque JBL,Accessoires,C0082,1,20000,Carte bancaire
2024-11-29,Laptop HP,Informatique,C0026,2,300000,Mobile Money
2024-08-28,T-shirt Zara,Mode,C0040,5,10000,Carte bancaire
2024-10-26,Smartphone Samsung,Téléphonie,C0100,3,250000,Cash
2024-07-03,Smartphone Samsung,Téléphonie,C0060,5,250000,Cash
